2026-01-19 16:55:02,497 | INFO     | claude_code_mcp.pipeline | Creating pipeline 'simple_greeting' with 1 steps
2026-01-19 16:55:02,498 | INFO     | claude_code_mcp.tools | Created tool registry: simple_greeting_tools
2026-01-20 08:01:55,474 | INFO     | claude_code_mcp.orchestrator | Registering pipeline 'my_pipeline' with 1 steps
2026-01-20 08:01:55,474 | DEBUG    | claude_code_mcp.orchestrator | Pipeline steps: ['s']
2026-01-20 08:01:55,477 | INFO     | claude_code_mcp.orchestrator | Registering pipeline 'pipeline1' with 1 steps
2026-01-20 08:01:55,478 | DEBUG    | claude_code_mcp.orchestrator | Pipeline steps: ['s']
2026-01-20 08:01:55,478 | INFO     | claude_code_mcp.orchestrator | Registering pipeline 'pipeline2' with 1 steps
2026-01-20 08:01:55,478 | DEBUG    | claude_code_mcp.orchestrator | Pipeline steps: ['s']
2026-01-20 08:01:55,478 | INFO     | claude_code_mcp.orchestrator | Registering pipeline 'pipeline3' with 1 steps
2026-01-20 08:01:55,478 | DEBUG    | claude_code_mcp.orchestrator | Pipeline steps: ['s']
2026-01-20 08:01:55,495 | DEBUG    | claude_code_mcp.orchestrator | Hook data: 1 items
2026-01-20 08:01:55,501 | WARNING  | claude_code_mcp.orchestrator | Instruction not found: /tmp/pytest-of-ben/pytest-0/test_build_context_missing_ins0/instructions/nonexistent.md
2026-01-20 08:01:55,517 | INFO     | claude_code_mcp.orchestrator | Starting pipeline 'nonexistent'
2026-01-20 08:01:55,517 | DEBUG    | claude_code_mcp.orchestrator | Initial input: input...
2026-01-20 08:01:55,520 | INFO     | claude_code_mcp.orchestrator | Registering pipeline 'test' with 1 steps
2026-01-20 08:01:55,520 | DEBUG    | claude_code_mcp.orchestrator | Pipeline steps: ['s']
2026-01-20 08:01:55,525 | DEBUG    | claude_code_mcp.orchestrator | SDK options: max_turns=5, model=sonnet, tools=['mcp__test__tool1']
2026-01-20 08:01:55,525 | DEBUG    | claude_code_mcp.orchestrator | Received message type: ResultMessage
2026-01-20 08:01:55,532 | INFO     | claude_code_mcp.orchestrator | Spawning subagent 7f3ff595-dc8f-4052-8e2d-c7dd4f006822 for 'research'
2026-01-20 08:01:55,533 | DEBUG    | claude_code_mcp.orchestrator | Subagent options: max_turns=10, model=sonnet
2026-01-20 08:01:55,544 | INFO     | claude_code_mcp.orchestrator | [run-123] Beginning pipeline execution from 'only'
2026-01-20 08:01:55,545 | INFO     | claude_code_mcp.orchestrator | [run-123] === Step 1: 'only' ===
2026-01-20 08:01:55,545 | DEBUG    | claude_code_mcp.orchestrator | [run-123] max_turns=10, tools=[], subagent=False
2026-01-20 08:01:55,545 | INFO     | claude_code_mcp.orchestrator | [run-123] Running in MAIN session
2026-01-20 08:01:55,546 | INFO     | claude_code_mcp.orchestrator | [run-123] Step completed - turns=1, reason=success
2026-01-20 08:01:55,546 | INFO     | claude_code_mcp.orchestrator | [run-123] Routing: 'only' -> 'END'
2026-01-20 08:01:55,547 | INFO     | claude_code_mcp.orchestrator | [run-123] Pipeline completed after 1 steps
2026-01-20 08:01:55,555 | INFO     | claude_code_mcp.orchestrator | [run-456] Beginning pipeline execution from 'first'
2026-01-20 08:01:55,556 | INFO     | claude_code_mcp.orchestrator | [run-456] === Step 1: 'first' ===
2026-01-20 08:01:55,556 | DEBUG    | claude_code_mcp.orchestrator | [run-456] max_turns=10, tools=[], subagent=False
2026-01-20 08:01:55,556 | INFO     | claude_code_mcp.orchestrator | [run-456] Running in MAIN session
